FILIAL;NUMNOTA;SERIE;EMISSAO;CODCLI;CODPROD;QUANT;VLRUNIT;VLRTOTAL;CFOP;COND_PGTO
02;500017;1;02/01/2025;000335;PA00587;4;22,20;88,80;6102;28/35/42
01;100046;1;02/01/2025;000350;PA00322;16;26,59;425,44;5102;28/35/42
01;100047;1;02/01/2025;000336;PA00525;22;75,76;1666,72;6102;À VISTA
01;100048;1;02/01/2025;000103;PA00332;4;33,63;134,52;5102;28/35/42
02;500018;1;02/01/2025;000010;PA00273;6;42,25;253,50;6102;À VISTA
02;500019;1;02/01/2025;000475;PA00220;6;20,17;121,02;6102;28/35/42
01;100049;1;02/01/2025;000448;PA00129;23;16,41;377,43;5102;28 DD
02;500020;1;02/01/2025;000251;PA00261;1;32,59;32,59;5102;28 DD
02;500021;1;02/01/2025;000331;PA00514;5;51,81;259,05;5102;30 DD
01;100050;1;02/01/2025;000043;PA00375;15;35,51;532,65;6102;28 DD
01;100051;1;02/01/2025;000219;PA00325;10;28,87;288,70;6102;28 DD
01;100052;1;02/01/2025;000294;PA00416;8;9,03;72,24;5102;28 DD
02;500022;1;02/01/2025;000351;PA00367;9;56,10;504,90;5102;28 DD
01;100053;1;02/01/2025;000099;PA00153;2;11,08;22,16;6102;30 DD
01;100054;1;02/01/2025;000043;PA00178;15;7,42;111,30;6102;28 DD
01;100055;1;02/01/2025;000480;PA00080;2;11,46;22,92;6102;28 DD
02;500023;1;02/01/2025;000421;PA00525;6;75,76;454,56;6102;30 DD
01;100056;1;02/01/2025;000080;PA00224;5;57,37;286,85;6102;30 DD
02;500024;1;02/01/2025;000407;PA00168;15;23,90;358,50;6102;28 DD
01;100057;1;02/01/2025;000403;PA00053;4;41,25;165,00;6102;28 DD
02;500025;1;02/01/2025;000081;PA00550;6;27,26;163,56;6102;30 DD
01;100058;1;02/01/2025;000401;PA00452;27;15,68;423,36;5102;28/35/42
02;500026;1;02/01/2025;000179;PA00326;21;42,36;889,56;6102;28 DD
01;100059;1;02/01/2025;000151;PA00404;17;30,51;518,67;6102;30 DD
01;100060;1;02/01/2025;000074;PA00600;15;58,51;877,65;6102;30 DD
02;500027;1;02/01/2025;000296;PA00555;11;64,99;714,89;6102;30 DD
01;100061;1;02/01/2025;000305;PA00018;3;48,72;146,16;6102;30 DD
01;100062;1;02/01/2025;000253;PA00478;3;28,80;86,40;6102;À VISTA
01;100063;1;02/01/2025;000045;PA00193;48;8,89;426,72;6102;28/35/42
02;500028;1;02/01/2025;000396;PA00304;37;36,39;1346,43;6102;30 DD
02;500029;1;02/01/2025;000144;PA00538;24;20,35;488,40;5102;28 DD
02;500030;1;02/01/2025;000120;PA00290;48;41,47;1990,56;6102;28/35/42
01;100064;1;02/01/2025;000320;PA00300;3;50,28;150,84;5102;28 DD
02;500031;1;02/01/2025;000083;PA00079;1;8,06;8,06;6102;30 DD
01;100065;1;02/01/2025;000453;PA00586;1;50,66;50,66;5102;28 DD
02;500032;1;02/01/2025;000323;PA00491;2;11,00;22,00;5102;28/35/42
01;100066;1;02/01/2025;000392;PA00307;2;57,33;114,66;6102;À VISTA
01;100067;1;02/01/2025;000153;PA00124;3;10,79;32,37;6102;30 DD
01;100068;1;02/01/2025;000200;PA00160;9;16,65;149,85;5102;30 DD
01;100069;1;02/01/2025;000111;PA00285;4;45,01;180,04;6102;28/35/42
01;100070;1;02/01/2025;000111;PA00100;14;50,51;707,14;5102;28 DD
01;100071;1;02/01/2025;000193;PA00017;11;53,37;587,07;6102;28/35/42
01;100072;1;02/01/2025;000391;PA00409;4;28,56;114,24;6102;À VISTA
01;100073;1;02/01/2025;000250;PA00206;2;16,45;32,90;6102;À VISTA
01;100074;1;02/01/2025;000415;PA00461;4;12,15;48,60;5102;28/35/42
01;100075;1;03/01/2025;000064;PA00262;1;36,62;36,62;6102;28/35/42
01;100076;1;03/01/2025;000146;PA00214;19;18,01;342,19;6102;À VISTA
01;100077;1;03/01/2025;000416;PA00068;4;39,96;159,84;5102;28/35/42
01;100078;1;03/01/2025;000481;PA00103;1;29,22;29,22;6102;30 DD
02;500033;1;03/01/2025;000005;PA00132;6;36,57;219,42;6102;28 DD
02;500034;1;03/01/2025;000421;PA00588;40;20,76;830,40;5102;28/35/42
02;500035;1;03/01/2025;000365;PA00022;9;15,58;140,22;6102;28/35/42
01;100079;1;03/01/2025;000039;PA00308;1;52,15;52,15;6102;30 DD
01;100080;1;03/01/2025;000074;PA00461;1;11,54;11,54;6102;30 DD
02;500036;1;03/01/2025;000432;PA00040;9;43,38;390,42;6102;28/35/42
02;500037;1;03/01/2025;000087;PA00124;3;12,82;38,46;6102;28 DD
01;100081;1;03/01/2025;000452;PA00086;15;29,04;435,60;6102;28/35/42
01;100082;1;03/01/2025;000268;PA00297;4;59,29;237,16;6102;30 DD
01;100083;1;03/01/2025;000495;PA00374;1;11,15;11,15;5102;28 DD
01;100084;1;03/01/2025;000250;PA00190;3;34,89;104,67;6102;30 DD
02;500038;1;03/01/2025;000059;PA00306;6;60,18;361,08;5102;28/35/42
01;100085;1;03/01/2025;000302;PA00007;4;53,35;213,40;6102;À VISTA
01;100086;1;03/01/2025;000211;PA00405;10;17,97;179,70;5102;28 DD
02;500039;1;03/01/2025;000034;PA00144;1;26,49;26,49;5102;30 DD
02;500040;1;03/01/2025;000406;PA00251;15;20,31;304,65;6102;À VISTA
01;100087;1;03/01/2025;000449;PA00087;3;27,11;81,33;5102;30 DD
01;100088;1;03/01/2025;000481;PA00517;12;46,93;563,16;5102;À VISTA
01;100089;1;03/01/2025;000322;PA00035;4;27,18;108,72;5102;30 DD
01;100090;1;03/01/2025;000293;PA00281;1;8,55;8,55;5102;28 DD
02;500041;1;03/01/2025;000087;PA00330;5;53,83;269,15;6102;30 DD
01;100091;1;03/01/2025;000481;PA00336;3;32,20;96,60;6102;30 DD
02;500042;1;03/01/2025;000365;PA00514;13;46,63;606,19;5102;28/35/42
01;100092;1;03/01/2025;000336;PA00093;10;22,15;221,50;5102;À VISTA
01;100093;1;03/01/2025;000350;PA00052;14;21,92;306,88;6102;30 DD
01;100094;1;03/01/2025;000419;PA00307;6;63,70;382,20;5102;À VISTA
02;500043;1;03/01/2025;000155;PA00251;2;20,31;40,62;5102;28 DD
02;500044;1;03/01/2025;000050;PA00431;14;7,37;103,18;6102;28/35/42
01;100095;1;03/01/2025;000497;PA00098;4;51,00;204,00;5102;30 DD
01;100096;1;03/01/2025;991565;PA00515;7;48,18;337,26;5102;28 DD
01;100097;1;03/01/2025;000122;PA00537;1;15,57;15,57;6102;30 DD
01;100098;1;03/01/2025;000244;PA00162;14;15,34;214,76;5102;28/35/42
01;100099;1;03/01/2025;000018;PA00197;4;16,15;64,60;6102;À VISTA
01;100100;1;03/01/2025;000141;PA00047;8;14,89;119,12;6102;30 DD
02;500045;1;03/01/2025;000435;PA00567;2;59,25;118,50;6102;À VISTA
02;500046;1;03/01/2025;000311;PA00203;2;23,83;47,66;6102;30 DD
01;100101;1;03/01/2025;000293;PA00354;1;73,47;73,47;5102;28 DD
01;100102;1;03/01/2025;000006;PA00250;1;18,32;18,32;5102;28/35/42
01;100103;1;03/01/2025;000200;PA00401;8;16,13;129,04;6102;28/35/42
01;100104;1;03/01/2025;000054;PA00216;1;6,09;6,09;6102;28 DD
02;500047;1;03/01/2025;000180;PA00084;3;64,17;192,51;5102;À VISTA
01;100105;1;03/01/2025;000181;PA00426;10;14,93;149,30;6102;30 DD
01;100106;1;04/01/2025;000026;PA00280;3;9,68;29,04;5102;28/35/42
01;100107;1;04/01/2025;000362;PA00454;12;33,16;397,92;5102;28/35/42
01;100108;1;04/01/2025;000122;PA00138;1;16,60;16,60;5102;28/35/42
01;100109;1;04/01/2025;000200;PA00445;19;23,48;446,12;6102;28/35/42
01;100110;1;04/01/2025;000310;PA00098;1;43,35;43,35;5102;30 DD
01;100111;1;04/01/2025;000250;PA00327;2;47,05;94,10;6102;28 DD
01;100112;1;04/01/2025;000127;PA00128;14;26,08;365,12;5102;28 DD
01;100113;1;04/01/2025;000436;PA00287;1;52,83;52,83;5102;28 DD
01;100114;1;04/01/2025;000045;PA00507;39;14,15;551,85;5102;À VISTA
01;100115;1;04/01/2025;000301;PA00369;1;39,35;39,35;6102;28 DD
02;500048;1;04/01/2025;000083;PA00482;1;22,46;22,46;5102;30 DD
01;100116;1;04/01/2025;000462;PA00315;7;51,45;360,15;5102;30 DD
02;500049;1;04/01/2025;000466;PA00540;20;29,92;598,40;6102;28 DD
01;100117;1;04/01/2025;000358;PA00410;17;9,67;164,39;5102;28/35/42
01;100118;1;04/01/2025;000442;PA00163;1;13,72;13,72;5102;28/35/42
02;500050;1;04/01/2025;923323;PA00147;1;36,88;36,88;6102;À VISTA
01;100119;1;04/01/2025;933021;PA00190;15;33,06;495,90;5102;28 DD
02;500051;1;04/01/2025;000371;PA00099;9;58,13;523,17;6102;À VISTA
01;100120;1;04/01/2025;000453;PA00529;1;20,09;20,09;5102;À VISTA
01;100121;1;04/01/2025;941081;PA00367;1;53,30;53,30;6102;28 DD
02;500052;1;04/01/2025;000364;PA00323;9;27,80;250,20;5102;30 DD
01;100122;1;04/01/2025;000080;PA00452;6;16,50;99,00;5102;28 DD
01;100123;1;04/01/2025;000221;PA00599;3;57,40;172,20;6102;30 DD
01;100124;1;04/01/2025;000153;PA00490;2;22,56;45,12;5102;À VISTA
01;100125;1;04/01/2025;000314;PA00413;10;4,86;48,60;5102;28/35/42
02;500053;1;04/01/2025;000319;PA00073;13;36,47;474,11;6102;28/35/42
02;500054;1;04/01/2025;000450;PA00323;1;26,33;26,33;5102;28 DD
01;100126;1;04/01/2025;000419;PA00293;3;41,16;123,48;5102;À VISTA
01;100127;1;04/01/2025;000032;PA00534;1;70,49;70,49;5102;30 DD
01;100128;1;04/01/2025;000078;PA00552;21;11,95;250,95;5102;28/35/42
01;100129;1;04/01/2025;000020;PA00304;7;36,39;254,73;5102;À VISTA
01;100130;1;05/01/2025;000065;PA00222;1;8,20;8,20;5102;30 DD
01;100131;1;05/01/2025;000457;PA00554;21;32,83;689,43;6102;30 DD
01;100132;1;05/01/2025;000372;PA00566;6;71,86;431,16;5102;28/35/42
02;500055;1;05/01/2025;000486;PA00110;6;23,91;143,46;6102;28/35/42
01;100133;1;05/01/2025;000495;PA00151;2;12,11;24,22;6102;30 DD
01;100134;1;05/01/2025;000259;PA00445;1;24,72;24,72;6102;À VISTA
02;500056;1;05/01/2025;000144;PA00421;3;10,42;31,26;5102;À VISTA
01;100135;1;05/01/2025;000457;PA00218;17;22,08;375,36;5102;À VISTA
02;500057;1;05/01/2025;000144;PA00529;15;22,45;336,75;5102;28 DD
01;100136;1;05/01/2025;000150;PA00395;9;25,19;226,71;5102;28/35/42
01;100137;1;06/01/2025;000028;PA00571;4;36,75;147,00;6102;28 DD
01;100138;1;06/01/2025;000053;PA00193;2;8,00;16,00;5102;30 DD
02;500058;1;06/01/2025;000385;PA00185;4;13,42;53,68;6102;28/35/42
01;100139;1;06/01/2025;000286;PA00364;6;63,06;378,36;6102;28 DD
01;100140;1;06/01/2025;000284;PA00402;19;23,37;444,03;5102;30 DD
01;100141;1;06/01/2025;000375;PA00004;2;32,37;64,74;5102;À VISTA
01;100142;1;06/01/2025;000404;PA00469;3;26,17;78,51;6102;28 DD
01;100143;1;06/01/2025;000356;PA00178;1;8,25;8,25;5102;28 DD
02;500059;1;06/01/2025;000004;PA00098;4;51,00;204,00;5102;À VISTA
02;500060;1;06/01/2025;000270;PA00217;4;29,89;119,56;6102;28/35/42
01;100144;1;06/01/2025;000416;PA00114;6;30,68;184,08;5102;28/35/42
02;500061;1;06/01/2025;000406;PA00014;7;47,57;332,99;5102;28 DD
01;100145;1;06/01/2025;000473;PA00122;4;23,24;92,96;6102;28 DD
01;100146;1;06/01/2025;941113;PA00071;7;47,22;330,54;5102;28 DD
01;100147;1;06/01/2025;000257;PA00559;18;55,25;994,50;6102;30 DD
02;500062;1;06/01/2025;000010;PA00371;1;57,57;57,57;6102;À VISTA
01;100148;1;06/01/2025;000254;PA00103;5;30,76;153,80;6102;28/35/42
01;100149;1;06/01/2025;000282;PA00340;2;40,70;81,40;5102;28/35/42
01;100150;1;06/01/2025;000457;PA00412;11;23,78;261,58;6102;28 DD
02;500063;1;06/01/2025;000443;PA00143;3;8,71;26,13;6102;28 DD
01;100151;1;06/01/2025;000030;PA00546;1;24,48;24,48;5102;À VISTA
02;500064;1;06/01/2025;000066;PA00076;2;36,19;72,38;6102;28/35/42
02;500065;1;06/01/2025;000179;PA00082;4;8,06;32,24;5102;À VISTA
01;100152;1;06/01/2025;000388;PA00283;7;54,72;383,04;6102;28/35/42
01;100153;1;06/01/2025;000075;PA00044;5;38,19;190,95;5102;28 DD
02;500066;1;06/01/2025;000386;PA00478;10;28,80;288,00;6102;À VISTA
01;100154;1;06/01/2025;000297;PA00063;4;18,70;74,80;5102;28 DD
02;500067;1;06/01/2025;000440;PA00030;3;43,07;129,21;5102;28/35/42
01;100155;1;06/01/2025;000154;PA00566;2;68,27;136,54;6102;À VISTA
01;100156;1;06/01/2025;000186;PA00425;1;21,54;21,54;6102;30 DD
02;500068;1;06/01/2025;000029;PA00312;1;37,41;37,41;5102;À VISTA
01;100157;1;06/01/2025;000257;PA00022;3;14,02;42,06;6102;28 DD
02;500069;1;06/01/2025;000387;PA00298;1;20,16;20,16;6102;28 DD
01;100158;1;06/01/2025;979345;PA00456;13;26,99;350,87;5102;28/35/42
01;100159;1;06/01/2025;000257;PA00245;7;52,81;369,67;5102;À VISTA
01;100160;1;06/01/2025;000455;PA00505;7;59,39;415,73;6102;28/35/42
02;500070;1;06/01/2025;000383;PA00089;2;27,92;55,84;6102;30 DD
02;500071;1;06/01/2025;000144;PA00203;7;23,83;166,81;6102;28 DD
01;100161;1;06/01/2025;000471;PA00226;3;15,09;45,27;5102;28 DD
01;100162;1;06/01/2025;000362;PA00179;2;33,86;67,72;5102;À VISTA
01;100163;1;06/01/2025;000135;PA00255;5;10,75;53,75;5102;30 DD
01;100164;1;06/01/2025;949409;PA00470;12;19,36;232,32;5102;28 DD
01;100165;1;06/01/2025;000339;PA00324;1;75,25;75,25;5102;28/35/42
02;500072;1;06/01/2025;000251;PA00546;1;23,12;23,12;6102;30 DD
01;100166;1;06/01/2025;000301;PA00438;3;22,38;67,14;5102;À VISTA
01;100167;1;06/01/2025;000058;PA00454;2;31,31;62,62;5102;30 DD
02;500073;1;06/01/2025;000383;PA00588;1;17,65;17,65;5102;30 DD
01;100168;1;06/01/2025;000430;PA00587;7;23,37;163,59;5102;28/35/42
01;100169;1;07/01/2025;000204;PA00218;18;22,08;397,44;6102;30 DD
02;500074;1;07/01/2025;000279;PA00478;12;30,32;363,84;5102;28 DD
01;100170;1;07/01/2025;000370;PA00377;7;12,73;89,11;6102;28 DD
01;100171;1;07/01/2025;000453;PA00115;4;21,12;84,48;5102;28/35/42
01;100172;1;07/01/2025;000043;PA00381;4;24,91;99,64;5102;28 DD
02;500075;1;07/01/2025;000487;PA00393;1;30,58;30,58;6102;30 DD
01;100173;1;07/01/2025;000191;PA00101;5;20,68;103,40;6102;30 DD
01;100174;1;07/01/2025;000388;PA00225;13;22,22;288,86;6102;À VISTA
01;100175;1;07/01/2025;000150;PA00494;7;9,24;64,68;6102;À VISTA
02;500076;1;07/01/2025;000364;PA00139;21;20,85;437,85;6102;28 DD
01;100176;1;07/01/2025;000346;PA00352;1;20,25;20,25;6102;28/35/42
02;500077;1;07/01/2025;000007;PA00414;1;9,65;9,65;6102;À VISTA
02;500078;1;07/01/2025;000435;PA00108;6;14,97;89,82;5102;30 DD
01;100177;1;07/01/2025;000018;PA00096;9;38,23;344,07;5102;28/35/42
01;100178;1;07/01/2025;000244;PA00129;12;16,41;196,92;6102;À VISTA
01;100179;1;07/01/2025;000098;PA00482;7;23,70;165,90;6102;30 DD
02;500079;1;07/01/2025;000296;PA00349;3;37,45;112,35;5102;30 DD
02;500080;1;07/01/2025;000081;PA00035;8;30,20;241,60;6102;28/35/42
01;100180;1;07/01/2025;000304;PA00294;22;24,15;531,30;6102;30 DD
02;500081;1;07/01/2025;000385;PA00566;4;71,86;287,44;6102;28/35/42
01;100181;1;07/01/2025;000298;PA00476;1;11,49;11,49;6102;28/35/42
01;100182;1;07/01/2025;000417;PA00489;10;33,26;332,60;5102;30 DD
02;500082;1;07/01/2025;000178;PA00519;4;6,21;24,84;6102;28 DD
01;100183;1;07/01/2025;000336;PA00172;1;24,57;24,57;6102;30 DD
01;100184;1;07/01/2025;000212;PA00467;5;15,87;79,35;6102;28 DD
01;100185;1;07/01/2025;914696;PA00151;24;12,75;306,00;5102;30 DD
01;100186;1;07/01/2025;000045;PA00337;41;77,65;3183,65;5102;À VISTA
01;100187;1;07/01/2025;000434;PA00364;1;63,06;63,06;6102;À VISTA
02;500083;1;07/01/2025;000005;PA00094;8;29,25;234,00;5102;À VISTA
01;100188;1;07/01/2025;000426;PA00596;4;46,29;185,16;5102;À VISTA
02;500084;1;07/01/2025;000041;PA00557;6;56,07;336,42;5102;28/35/42
01;100189;1;07/01/2025;000350;PA00237;3;35,21;105,63;6102;28/35/42
01;100190;1;07/01/2025;000045;PA00288;15;50,77;761,55;5102;À VISTA
01;100191;1;07/01/2025;000388;PA00111;9;28,88;259,92;5102;28 DD
01;100192;1;07/01/2025;000100;PA00542;2;44,80;89,60;5102;28/35/42
02;500085;1;07/01/2025;000033;PA00338;12;23,46;281,52;5102;28 DD
01;100193;1;08/01/2025;000289;PA00124;3;12,14;36,42;5102;28/35/42
01;100194;1;08/01/2025;000253;PA00075;18;51,01;918,18;6102;30 DD
02;500086;1;08/01/2025;000023;PA00491;2;11,00;22,00;5102;À VISTA
01;100195;1;08/01/2025;000201;PA00055;1;31,36;31,36;5102;À VISTA
01;100196;1;08/01/2025;000210;PA00492;5;6,07;30,35;5102;À VISTA
02;500087;1;08/01/2025;000466;PA00088;25;29,91;747,75;6102;28 DD
01;100197;1;08/01/2025;000147;PA00382;10;59,19;591,90;5102;28 DD
01;100198;1;08/01/2025;000314;PA00227;7;48,47;339,29;5102;À VISTA
02;500088;1;08/01/2025;000241;PA00416;12;9,53;114,36;5102;À VISTA
01;100199;1;08/01/2025;000388;PA00517;2;46,93;93,86;6102;28 DD
01;100200;1;08/01/2025;000302;PA00392;1;19,72;19,72;6102;28/35/42
01;100201;1;08/01/2025;000497;PA00055;4;36,90;147,60;6102;À VISTA
02;500089;1;08/01/2025;000316;PA00526;5;59,72;298,60;6102;30 DD
01;100202;1;08/01/2025;000154;PA00312;1;37,41;37,41;6102;À VISTA
01;100203;1;08/01/2025;000196;PA00102;6;19,41;116,46;5102;28 DD
01;100204;1;08/01/2025;000427;PA00067;4;35,17;140,68;6102;À VISTA
02;500090;1;08/01/2025;000169;PA00147;6;38,82;232,92;6102;30 DD
01;100205;1;08/01/2025;000464;PA00439;7;8,06;56,42;6102;À VISTA
01;100206;1;08/01/2025;000207;PA00225;22;22,22;488,84;6102;28 DD
02;500091;1;08/01/2025;000470;PA00121;10;34,04;340,40;6102;À VISTA
01;100207;1;08/01/2025;000069;PA00556;10;56,06;560,60;5102;30 DD
01;100208;1;08/01/2025;000390;PA00087;11;28,54;313,94;6102;30 DD
01;100209;1;08/01/2025;000211;PA00051;7;50,76;355,32;5102;28 DD
01;100210;1;08/01/2025;000101;PA00006;3;33,75;101,25;5102;28 DD
02;500092;1;08/01/2025;000296;PA00540;26;29,92;777,92;5102;28 DD
01;100211;1;08/01/2025;000028;PA00420;5;12,11;60,55;5102;À VISTA
01;100212;1;08/01/2025;000091;PA00373;80;13,95;1116,00;5102;30 DD
02;500093;1;08/01/2025;000421;PA00580;12;48,28;579,36;6102;28/35/42
01;100213;1;08/01/2025;000257;PA00483;5;11,43;57,15;6102;28/35/42
02;500094;1;08/01/2025;000152;PA00513;14;61,73;864,22;5102;À VISTA
01;100214;1;08/01/2025;000067;PA00549;1;69,86;69,86;6102;28 DD
01;100215;1;08/01/2025;000074;PA00443;1;17,40;17,40;5102;28 DD
01;100216;1;08/01/2025;000102;PA00059;13;23,65;307,45;6102;30 DD
01;100217;1;08/01/2025;000221;PA00568;5;14,70;73,50;6102;28/35/42
01;100218;1;09/01/2025;000200;PA00086;2;29,04;58,08;6102;30 DD
02;500095;1;09/01/2025;000311;PA00036;6;7,64;45,84;5102;28 DD
01;100219;1;09/01/2025;000122;PA00266;2;28,99;57,98;5102;30 DD
01;100220;1;09/01/2025;000342;PA00512;6;8,05;48,30;6102;30 DD
01;100221;1;09/01/2025;000277;PA00038;21;38,82;815,22;6102;28 DD
02;500096;1;09/01/2025;000335;PA00072;9;54,19;487,71;6102;28 DD
01;100222;1;09/01/2025;000428;PA00281;9;8,55;76,95;5102;30 DD
01;100223;1;09/01/2025;000151;PA00392;12;23,20;278,40;5102;28 DD
02;500097;1;09/01/2025;000311;PA00208;17;15,30;260,10;6102;À VISTA
01;100224;1;09/01/2025;000024;PA00343;3;65,40;196,20;5102;À VISTA
02;500098;1;09/01/2025;000398;PA00026;1;34,42;34,42;6102;28/35/42
02;500099;1;09/01/2025;000406;PA00204;3;12,65;37,95;6102;28 DD
02;500100;1;09/01/2025;000347;PA00154;5;8,32;41,60;6102;28 DD
01;100225;1;09/01/2025;000348;PA00082;1;7,25;7,25;5102;30 DD
01;100226;1;09/01/2025;000281;PA00489;7;33,26;232,82;6102;28 DD
01;100227;1;09/01/2025;000146;PA00348;9;57,80;520,20;6102;30 DD
02;500101;1;09/01/2025;000398;PA00368;1;25,26;25,26;5102;30 DD
01;100228;1;09/01/2025;000060;PA00448;8;25,52;204,16;5102;30 DD
02;500102;1;09/01/2025;000292;PA00363;5;20,91;104,55;6102;À VISTA
02;500103;1;09/01/2025;000049;PA00075;6;51,01;306,06;6102;30 DD
01;100229;1;09/01/2025;000370;PA00155;4;17,55;70,20;5102;30 DD
01;100230;1;09/01/2025;000249;PA00572;1;43,04;43,04;6102;28 DD
01;100231;1;09/01/2025;000314;PA00331;9;39,94;359,46;5102;28/35/42
01;100232;1;09/01/2025;000076;PA00472;1;10,87;10,87;5102;30 DD
01;100233;1;09/01/2025;000193;PA00144;2;29,43;58,86;5102;30 DD
02;500104;1;09/01/2025;000331;PA00218;5;22,08;110,40;5102;À VISTA
01;100234;1;09/01/2025;000208;PA00081;9;16,28;146,52;5102;À VISTA
01;100235;1;09/01/2025;000362;PA00522;4;15,52;62,08;6102;28/35/42
02;500105;1;09/01/2025;000041;PA00571;6;40,83;244,98;5102;28 DD
02;500106;1;09/01/2025;000162;PA00108;14;14,97;209,58;5102;28 DD
02;500107;1;09/01/2025;000049;PA00098;8;51,00;408,00;6102;À VISTA
